calories_day,weight
,187
3.0,155
4.0,I'm not answering this. 
3.0,"Not sure, 240"
2.0,190
3.0,190
3.0,180
3.0,137
,180
3.0,125
3.0,116
4.0,110
3.0,264
3.0,123
3.0,185
,180
3.0,145
3.0,170
3.0,135
2.0,165
3.0,175
3.0,195
3.0,185
3.0,185
2.0,105
3.0,125
2.0,160
4.0,175
2.0,180
2.0,167
3.0,115
3.0,205
3.0,
3.0,128
3.0,150
2.0,150
3.0,150
4.0,170
3.0,150
,175
3.0,140
4.0,120
3.0,135
2.0,100
4.0,170
3.0,113
2.0,168
,145
,155
3.0,150
3.0,169
4.0,185
4.0,200
,265
3.0,165
2.0,192
4.0,175
4.0,140
3.0,155
,155
4.0,135
2.0,118
4.0,210
4.0,180
3.0,140
,112
3.0,125
2.0,144 lbs
3.0,145
4.0,130
3.0,140
,140
3.0,140
4.0,200
2.0,
3.0,120
3.0,150
2.0,200
3.0,135
3.0,145
2.0,130
3.0,190
,170
3.0,127
3.0,167
3.0,140
3.0,190
3.0,155
4.0,175
3.0,129
4.0,260
2.0,135
,190
,165
3.0,175
,184
3.0,210
3.0,155
3.0,185
4.0,165
3.0,125
,160
4.0,135
3.0,130
3.0,230
3.0,125
3.0,130
3.0,165
2.0,128
3.0,200
3.0,160
2.0,170
4.0,129
2.0,170
3.0,138
4.0,150
,170
,113
3.0,140
3.0,185
4.0,156
2.0,180
,120
4.0,135
,135
